Name,Deliberative model (categorised by OECD),Deliberative model (named by organisers),Ad hoc or Institutionalised?,"If institutionalised, is there a legal document establishing its functioning? (i.e. terms of reference)",Institutionalisation regulations URL,Project name,Project description,"Was there a dedicated committee/group set up in relation to the deliberative process? (i.e. expert group, advisory committee)",Advisory committee members,The  role of the advisory committee,Project URL,Year(s) of project,Country,OECD member?,Level of government,Place (Country/State/Region/City),Implementing organisation,Organisation URL,Organisation type,Issue category,Was the Jury/Assembly/Panel independent with mandate to set its rules of procedure?,Number of panels of the deliberative process,Total number of participants,Participant selection method,Participant selection methodology details,What was the method for participant selection?,Who was the invitation to participate from?,Response rate to invitation,Duration of participant selection process (in weeks),Duration of preparation/planning/agenda setting phase before 1st participant meeting (in weeks),Remuneration of participants,Which stakeholders were involved in the process design?,What did the stakeholders bring to the table?,"Was a dedicated online platform/tool used to keep participants up to date, informed and connected during the process?",Name of the platform for participant communication,How has process been communicated?,Elected officials part of the panel,"If yes, how many elected officials?",Total duration of face-to-face/hybrid/online meetings (in days),Total duration between 1st participant meeting date and last meeting date (in weeks),Was there an initial survey to measure the beliefs of participants?,Learning component of the process,"Was there a connection to other forms of engagement? If so, what were they?",Please provide further details on other forms of engagement,Outcome,Outcome (file number),Were final recommendations discussed face-to-face with the public authority?,Response and followup,Was there a change in administration during the period when deliberative process took place?,Implementation is being monitored,"If yes, how is implementation being monitored?",Has the process been evaluated?," If yes, how?",Evaluation link if applicable,Challenges encountered,Lessons learned,Total cost (not mandatory to fill in),Currency,Funding source(s),Online/hybrid,"Platform used if online, additionnal informations",latitude,longitude,Anything else?,Attachments 2,Included in the report
G1000Eindhoven,G1000,G1000,Ad hoc,,,G1000Eindhoven,What do we think is important for the future of Eindhoven,,,,http://g1000eindhoven.nl/,2016,Netherlands,Yes,Local Government,Eindhoven,G1000.nu,www.G1000.nu,Non-Governmental Organisation,Strategic planning,,1,389,Single stage random selection (e.g. polling company recruitment),"from population register. Random selection done by local authorities. Because of privacy issues, the Invitation of G1000, as an independent party organizing the Citizens Assembly, was sent by the Mayor.",Post,"Mayor,Other (please specify in participant selection methodology details)",,8,10-12 weeks,Non-remunerated,Citizens,,,,Local media,Yes,,1,0,checked,"Experts available at meetings for presentations and/or questions,Participants can request information,Learning sessions",,,http://g1000eindhoven.nl/resultaten/,not available,checked,,,,,checked,Participant exit survey,www.g1000.nu,"diversity, implementation of results",,60000,EUR,"Sponsors, local government",Face-to-face,,51.4392648,5.478633,,,checked
G1000Nijmegen,G1000,G1000,Ad hoc,,,G1000Nijmegen,To discuss what could be improved in the city and what actions and projects are needed for this,,,,https://g1000.nu/project/g1000nijmegen/,2016,Netherlands,Yes,Local Government,Nijmegen,G1000.nu,www.G1000.nu,Non-Governmental Organisation,Strategic planning,,1,639,Single stage random selection (e.g. polling company recruitment),"from population register. Random selection done by local authorities. Because of privacy issues, the Invitation of G1000, as an independent party organizing the Citizens Assembly, was sent by the Mayor.",Post,"Mayor,Other (please specify in participant selection methodology details)",,,10-12 weeks,Non-remunerated,Citizens,,,,Local media,Yes,,1,0,checked,"Experts available at meetings for presentations and/or questions,Participants can request information,Learning sessions",,,,not available,checked,,,,,checked,Participant exit survey,www.g1000.nu,"diversity, implementation of results",,80000,EUR,"Sponsors, local government",Face-to-face,,51.84257485,5.838960629,,,checked
The first Gdansk Citizens' Panel ,Citizens' Jury,Citizens' Panel,Ad hoc,,,The first Gdansk Citizens' Panel ,On how municipality should respond in an event of heavy rain in the context of climate change,No,,,"https://www.gdansk.pl/panel-obywatelski/pierwszy-panel-jak-lepiej-przygotowac-gdansk-na-wystapienie-ulewnych-opadow-deszczu,a,2812",2016,Poland,Yes,Local Government,Gdansk,,https://www.gdansk.pl/,Government,Environment,,1,63,Two-stage random selection (e.g. civic lottery),"8969 invitations were sent invitations sent to randomly selected citizens. From those registered, in each demographic group dice are rolled to randomly select participants. Data from voters registry is used. ",Post,Mayor,,,,Remunerated,"Civil Society Organisations,Government Officials","Asked to provide their opinions with regards to which specific topics
should be covered and which experts and other stakeholders should be invited. Invited to make presentations to the panel. ",,,"Posters, information in social media, press releases and press conferences",No,,3,2,,"Participants can request information,Learning sessions,Experts available at meetings for presentations and/or questions",Public consultations (online/offline),"There is an open consultations phase of the process, when opinions of individual citizens are gathered.",16 concrete recommendations,1 Poland (in polish),,Implementation of most recommendations (over 50%),,checked,Municipality provides updates on implementation of recommendations,,,,,,30000,EUR,Budget of municipality of Gdansk,Face-to-face,,54.3482908,18.6540231,,,checked
Friese Dorpentop,Citizens' Dialogues,Citizens' Summit,Ad hoc,,,Friese Dorpentop,To gain insight into what towns in the province consider important for the future of the Frisian countryside.,,,,http://www.friesedorpentop.frl,2016,Netherlands,Yes,Local Government,Frisian province,G1000.nu,www.G1000.nu,Non-Governmental Organisation,Strategic planning,,1,499,Single stage random selection (e.g. polling company recruitment),"from population register. Random selection done by local authorities. Because of privacy issues, the Invitation of G1000, as an independent party organizing the Citizens Assembly, was sent by the Mayor. Eight hundred participants are drawn from the Personal Records Database of the Frisian municipalities. To recruit these participants, ten thousand invitation letters were sent in September in proportion to the number of rural residents per municipality. The draw is made among all residents of 18 years and older, with the exception of the four major cities of Leeuwarden, Drachten, Heerenveen and Sneek.

Anyone who has received a letter can register as a participant on this website. The remaining two hundred participants are selected from entrepreneurs, civil servants and active citizens.",Post,"Mayor,Other (please specify in participant selection methodology details)",,4,10-12 weeks,Non-remunerated,Citizens,,,,Local and regional media,Yes,,1,0,checked,"Experts available at meetings for presentations and/or questions,Participants can request information,Learning sessions",,,http://www.friesedorpentop.frl/5-november/alle-ideeen-van-5-november/,not available,checked,,,,,checked,Participant exit survey,www.g1000.nu,"diversity, implantation results",,120000,EUR,"Regional Government, sponsors",Face-to-face,,,,,,checked
G1000Schiedam 2016,G1000,G1000,Ad hoc,,,G1000Schiedam 2016,To draw a future vision of the city.,,,,http://g1000schiedam.nl/,2016,Netherlands,Yes,Local Government,Schiedam,G1000.nu,www.G1000.nu,Non-Governmental Organisation,Strategic planning,,1,450,Single stage random selection (e.g. polling company recruitment),"from population register. Random selection done by local authorities. Because of privacy issues, the Invitation of G1000, as an independent party organizing the Citizens Assembly, was sent by the Mayor.",Post,"Mayor,Other (please specify in participant selection methodology details)",,4,10-12 weeks,Non-remunerated,Citizens,,,,Local media,Yes,,1,0,checked,"Experts available at meetings for presentations and/or questions,Participants can request information,Learning sessions",,,,not available,checked,,,,,checked,Participant exit survey,www.g1000.nu,"diversity, implementation of results",,60000,EUR,"Sponsors, local government",Face-to-face,,51.9300454,4.386451053,,,checked
Citizens' Initiative Review: Proposition 205,CIR,CIR,Ad hoc,,,Citizens' Initiative Review: Proposition 205,"To conduct an in-depth
study of a ballot question on the use of medical marijuana and share their findings with their fellow voters.",No,,,,2016,USA,Yes,Regional/State,Arizona,Healthy Democracy,https://healthydemocracy.org/,Non-Governmental Organisation,Health,,1,22,Two-stage random selection (e.g. civic lottery),"10,000 people from the voters register randomly selected to participate. From those who opt-in, 22 randomly selected and reflect the state's voting population based on location of
residence, party registration, voting history, age, gender, race and ethnicity. Invitation signed by the CIR commission.    ",Post,Other (please specify in participant selection methodology details),5.00%,8,12-14 weeks,Remunerated,"Civil Society Organisations,Academics",Presentations to the panel,,,"Press conference after the CIR process, CIR published in voters guide.",No,,4,0,checked,"Learning sessions,Experts available at meetings for presentations and/or questions",,,,8 USA,,,,,,checked,Academic analysis,,,,,,Publicly funded in large by the Citizens Clean Elections Commission,Face-to-face,,34.395342,-111.763275,,,checked
Journée citoyenne : construisons les politiques publiques en Bourgogne Franche-Comté,Citizens' Dialogues,Citizens' Workshop,Ad hoc,,,Journée citoyenne : construisons les politiques publiques en Bourgogne Franche-Comté,To get citizen input for the development of the strategy for the region,,,,https://www.bourgognefranchecomte.fr/,2016,France,Yes,Regional/State,Bourgogne Franche-Comté,MISSIONS PUBLIQUES,www.missionspubliques.org,Private sector,Various,,4,145,Single stage random selection (e.g. polling company recruitment),"2160 citizens invited to attend, 145 of them accepted the invitation",Post,,2.00%,8,,Non-remunerated,,,,,,No,,1,0,,,,,"Produced a range of ideas on the topics of regional cohesion, employability, territorial inequalities, environment and regional identity",5 France (in French),,,,,,,,,,,,,Budget of thee Conseil Régional Rhône-Alpes,Face-to-face,,47.0510946,5.0740568,,,checked
G1000Amersfoort 2016,G1000,G1000,Ad hoc,,,G1000Amersfoort 2016,What do we think is important for the future of Amersfoort,,,,https://www.g1000amersfoort.nl/,2016,Netherlands,Yes,Local Government,Amersfoort,G1000.nu,www.G1000.nu,Non-Governmental Organisation,Strategic planning,,1,480,Single stage random selection (e.g. polling company recruitment),"from population register. Random selection done by local authorities. Because of privacy issues, the Invitation of G1000, as an independent party organizing the Citizens Assembly, was sent by the Mayor.",Post,"Mayor,Other (please specify in participant selection methodology details)",,7,10-12 weeks,Non-remunerated,Citizens,,,,Local media,Yes,,1,0,checked,"Experts available at meetings for presentations and/or questions,Participants can request information,Learning sessions",,,https://www.g1000amersfoort.nl/2016/09/23/resultaten-g1000amersfoort-gepresenteerd-in-de-raad/,not available,checked,,,,,checked,Participant exit survey,www.g1000.nu,"diversity, implementation of results",,80000,EUR,"Sponsors, local government",Face-to-face,,52.16826222,5.401076273,,,checked
Nuclear Fuel Cycle Citizens' Jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Nuclear Fuel Cycle Citizens' Jury,To determine whether South Australia should continue to pursue opportunities connected to the Nuclear Fuel Cycle.,No,,,http://www.democracyco.com.au/our-projects/nuclear-waste-storage-citizens-juries/,2016,Australia,Yes,Regional/State,South Australia,DemocracyCo,https://www.democracyco.com.au/,Private sector,Energy,,2,404,Two-stage random selection (e.g. civic lottery),"25,000 invitations were sent to randomly selected
addresses across the state using an Australia Post
database.  Of 1121 who responded, a jury of 52 was randomly selected to align with
census data for age, gender and geographical location.",,,12.00%,4,,,,,,,Use of regional and national media,No,,3,3,,,Surveys (online/offline),"Two stage Jury process. Jury 1 (54 citizens) analysed the Nuclear Fuel Cycle’s Royal Commission Report and highlighted the issues that need to be discussed and resolved in the community. Jury 2 (350 citizens) considered “Under what circumstances (if any) could South Australia pursue the opportunity to store and dispose of nuclear waste from other countries?” Also, online and in-person feedback, as well as a community survey and parliamentary inquiry were conducted.",Produced a range of recommendations related to nuclear waste management. Overall rejected the government proposal to accept nuclear waste from other countries to be disposed in Australia.,8 Australia,,Public response to recommendations,,,,,,,The unusual size of the jury caused tension; the jury was under strong time pressure. This resulted in distrust of the deliberation process.,"1. On polarised topics, deliberative processes can be of more use exploring the details and nuances of people’s positions, and considering the conditions and contingencies that political decision-makers must meet in making a decision. 2. 350 citizens for a jury is arguably too many to successfully manage the process. ",,,Budget of Government of South Australia,Face-to-face,,-30.53688659,135.6276011,,,checked
The development of the Munich region,Planning Cell,Planning Cell,Ad hoc,,,The development of the Munich region,To develop recommendations to inform regional development to be used for regional planning.,,,,https://www.nexusinstitut.de/buergergutachten-durch-planungszellen-in-planegg/,2016,Germany,Yes,Local Government,Munich,Nexus institute,https://www.nexusinstitut.de/,Private sector,Urban planning,,4,94,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,,,,,3 Germany (in german),,,,,,,,,,,,,Budget of the Regional Planning Association Munich,Face-to-face,,48.13834768,11.57662198,,,checked
